FID,BNAME,BCAMPUS,BSIZE,BUNITS,BHOTEL,STORIES,YEARBLT,COMMENTS,BTYPE,BUSE,OWNERSHIP,GF_RETAIL
2419, , ,3008,1,0,1.75,1979, ,Detached house,Residential, , 
2420, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2421, , ,1702,1,0,1,1962, ,Detached house,Residential, , 
2422, , ,1274,1,0,1,1960, ,Detached house,Residential, , 
2423, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2424, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2425, , ,21424,0,0,1,1952, ,Detached structure,Industrial, , 
2426, , ,2216,1,0,2.25,1920, ,Detached house,Residential, , 
2427, , ,2780,1,0,1,1960, ,Detached house,Residential, , 
2428, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2429, , ,1648,1,0,2,1940, ,Detached house,Residential, , 
2430, , ,2611,1,0,1,1960, ,Detached house,Residential, , 
2431, , ,1764,1,0,1,1924, ,Detached house,Residential, , 
2432, , ,1482,1,0,1.5,1953, ,Detached house,Residential, , 
2433, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2434, , ,1274,1,0,1,1960, ,Detached house,Residential, , 
2435, , ,2040,1,0,2,1968, ,Detached house,Residential, , 
2436, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2437, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2438, , ,1375,1,0,1,1955, ,Detached house,Residential, , 
2439, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2440, , ,2100,1,0,2,1971, ,Detached house,Residential, , 
2441, , ,2177,1,0,1.75,1948, ,Detached house,Residential, , 
2442, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2443, , ,1248,1,0,1,1962, ,Detached house,Residential, , 
2444, , ,2613,1,0,2,1961, ,Detached house,Residential, , 
2445, , ,0,271,0,13,1962, ,Detached structure,Residential,Apartment, 
2446, , ,1720,1,0,2,1942, ,Detached house,Residential, , 
2447, , ,1854,1,0,1,1975, ,Detached house,Residential, , 
2448, , ,2040,1,0,2,1968, ,Detached house,Residential, , 
2449, , ,1566,1,0,1.5,1920, ,Detached house,Residential, , 
2450, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2451, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2452, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2453, , ,1836,2,0,2,1935, ,Duplex,Residential, , 
2454, , ,2442,1,0,1.75,1952, ,Detached house,Residential, , 
2455, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2456, , ,133667,0,0,3,1989, ,Detached structure,Industrial, , 
2457, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2458, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2459, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2460, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2461, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2462, , ,2128,1,0,2,1960, ,Detached house,Residential, , 
2463, , ,0,0,0,2.25,0, ,Garage or shed,Other, , 
2464, , ,1944,1,0,2,1920, ,Detached house,Residential, , 
2465, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2466, , ,2592,1,0,2,1956, ,Detached house,Residential, , 
2467, , ,1892,1,0,2.25,1930, ,Detached house,Residential, , 
2468, , ,1736,1,0,1.5,1957, ,Detached house,Residential, , 
2469, , ,1008,1,0,1,1962, ,Detached house,Residential, , 
2470, , ,1380,1,0,2,1940, ,Detached house,Residential, , 
2471, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2472, , ,1503,1,0,2,1935, ,Detached house,Residential, , 
2473, , ,2376,2,0,2,1954, ,Duplex,Residential, , 
2474, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2475, , ,1664,2,0,2,1947, ,Duplex,Residential, , 
2476, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2477, , ,1587,1,0,1.5,1948, ,Detached house,Residential, , 
2478, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2479, , ,2748,1,0,2,1945, ,Detached house,Residential, , 
2480, , ,1604,1,0,1,1958, ,Detached house,Residential, , 
2481, , ,2374,1,0,2,1959, ,Detached house,Residential, , 
2482, , ,2160,1,0,2.25,1949, ,Detached house,Residential, , 
2483, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2484, , ,1274,1,0,1,1960, ,Detached house,Residential, , 
2485, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2486, , ,1896,1,0,2,1958, ,Detached house,Residential, , 
2487, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2488, , ,975,1,0,1,1954, ,Detached house,Residential, , 
2489, , ,1688,1,0,1.75,1950, ,Detached house,Residential, , 
2490, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2491, , ,125986,0,0,6,1999, ,Detached structure,Commercial, , 
2492, , ,1050,1,0,1.5,1922, ,Detached house,Residential, , 
2493,St. Andrews United Methodist Church, ,7350,0,0,1,0, ,Detached structure,Mass Assembly, , 
2494, , ,1500,1,0,2,1940, ,Detached house,Residential, , 
2495, , ,975,1,0,1,1952, ,Detached house,Residential, , 
2496, , ,999,1,0,1,1951, ,Detached house,Residential, , 
2497, , ,1852,1,0,2,1946, ,Detached house,Residential, , 
2498, , ,1320,1,0,2,1940, ,Detached house,Residential, , 
2499, , ,4899,1,0,1.75,1933, ,Detached house,Residential, , 
2500, , ,104,0,0,1,0, ,Garage or shed,Mass Assembly, , 
2501, , ,1599,1,0,2,1958, ,Detached house,Residential, , 
2502, ,Foxchase Apartments,0,11,0,4,1950, ,Detached structure,Residential,Apartment, 
2503, , ,1375,1,0,1,1955, ,Detached house,Residential, , 
2504, , ,1339,1,0,1.5,1940, ,Detached house,Residential, , 
2505, , ,1986,1,0,2,1930, ,Detached house,Residential, , 
2506, ,Foxchase Apartments,0,10,0,4,1950, ,Detached structure,Residential,Apartment, 
2507, , ,1898,1,0,1.5,1952, ,Detached house,Residential, , 
2508, , ,2101,1,0,1.75,1951, ,Detached house,Residential, , 
2509,St Agnes Episcopal School (Lower Campus),St Agnes Episcopal School (Lower Campus),0,0,0,3,0, ,Detached structure,Institutional, , 
2510, ,Landmark Center,5491,0,0,1,1988, ,Detached structure,Commercial, , 
2511, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2512, , ,1450,1,0,2,1940, ,Detached house,Residential, , 
2513, , ,1170,1,0,1,1957, ,Detached house,Residential, , 
2514, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2515, , ,1914,1,0,1,1958, ,Detached house,Residential, , 
2516, , ,912,1,0,1,1955, ,Detached house,Residential, , 
2517, , ,1638,1,0,1.75,1938, ,Detached house,Residential, , 
2518, , ,2162,2,0,2,1935, ,Duplex,Residential, , 
2519, , ,1040,1,0,1,1930, ,Detached house,Residential, , 
2520, , ,2593,1,0,2,1977, ,Detached house,Residential, , 
2521, , ,2099,1,0,1.75,1955, ,Detached house,Residential, , 
2522, ,Foxchase Apartments,0,10,0,3,1950, ,Detached structure,Residential,Apartment, 
2523, , ,1542,1,0,2,1921, ,Detached house,Residential, , 
2524, , ,1148,1,0,1.5,1935, ,Detached house,Residential, , 
2525, , ,1548,1,0,1.5,1925, ,Detached house,Residential, , 
2526, , ,1554,1,0,2,1939, ,Detached house,Residential, , 
2527, , ,2474,1,0,2,1958, ,Detached house,Residential, , 
2528, , ,1279,1,0,1.25,1920, ,Detached house,Residential, , 
2529, , ,23683,0,0,1,1940, ,Detached structure,Industrial, , 
2530, , ,1456,1,0,2,1948, ,Detached house,Residential, , 
2531, ,Foxchase Apartments,0,10,0,3,1950, ,Detached structure,Residential,Apartment, 
2532, , ,2500,2,0,2,1985, ,Duplex,Residential, , 
2533, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2534, , ,0,4,0,2,1982, ,Townhouse or row house,Residential,ARHA, 
2535, , ,2703,1,0,2,1974, ,Detached house,Residential, , 
2536, , ,7800,0,0,1,1945, ,Detached structure,Commercial, , 
2537, , ,1884,1,0,2,1945, ,Detached house,Residential, , 
2538, ,Fort Ward Park,0,0,0,0,0, ,Detached structure,Mass Assembly, , 
2539, , ,2852,1,0,2,1977, ,Detached house,Residential, , 
2540, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2541, , ,1708,1,0,1.5,1956, ,Detached house,Residential, , 
2542, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2543, , ,1131,1,0,1,1954, ,Detached house,Residential, , 
2544, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2545, , ,1270,1,0,1.5,1923, ,Detached house,Residential, , 
2546, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2547, ,Foxchase Apartments,0,10,0,3,1950, ,Detached structure,Residential,Apartment, 
2548, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2549, , ,1192,1,0,1.5,1938, ,Detached house,Residential, , 
2550, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2551, , ,2240,1,0,2,1949, ,Detached house,Residential, , 
2552, , ,1300,0,0,1,1960, ,Detached structure,Commercial, , 
2553, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2554, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2555, , ,975,1,0,1,1953, ,Detached house,Residential, , 
2556, , ,1900,1,0,1.75,1956, ,Detached house,Residential, , 
2557, , ,1152,1,0,2,1958, ,Detached house,Residential, , 
2558, , ,1092,1,0,1,1960, ,Detached house,Residential, , 
2559, , ,2030,1,0,2,1953, ,Detached house,Residential, , 
2560, , ,2086,1,0,1,1963, ,Detached house,Residential, , 
2561, , ,1968,1,0,2,1940, ,Detached house,Residential, , 
2562, , ,1560,1,0,1,1954, ,Detached house,Residential, , 
2563, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2564, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2565, ,EPISCOPAL HIGH SCHOOL,2775,1,0,1.5,0, ,Detached house,Residential, , 
2566, , ,1578,0,0,1,1966, ,Detached structure,Commercial, , 
2567, , ,1688,1,0,1.25,1927, ,Detached house,Residential, , 
2568, , ,1188,1,0,2,1920, ,Detached house,Residential, , 
2569, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2570, , ,2074,1,0,1.75,1940, ,Detached house,Residential, , 
2571, , ,720,0,0,1,1944, ,Detached structure,Mass Assembly, , 
2572, , ,2174,1,0,1.75,1940, ,Detached house,Residential, , 
2573, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2574, , ,2022,1,0,2,1940, ,Detached house,Residential, , 
2575, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2576, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2577, , ,1782,1,0,1,1910, ,Detached house,Residential, , 
2578, ,WATERGATE AT LANDMARK CONDOMINIUM,0,0,0,0,0, ,Garage or shed,Other, , 
2579, , ,1175,1,0,1,1956, ,Detached house,Residential, , 
2580, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2581, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2582, , ,2894,1,0,2,2002, ,Detached house,Residential, , 
2583, , ,4458,0,0,1,1966, ,Detached structure,Commercial, , 
2584, , ,1152,1,0,1,1920, ,Detached house,Residential, , 
2585, , ,0,0,0,1,0, ,Garage or shed,Transportation, , 
2586, ,EPISCOPAL HIGH SCHOOL,0,0,0,0,0, ,Garage or shed,Other, , 
2587, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2588, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2589, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2590, , ,2652,2,0,2,1963, ,Duplex,Residential, , 
2591, , ,1439,1,0,1,1956, ,Detached house,Residential, , 
2592, , ,960,1,0,1,1920, ,Detached house,Residential, , 
2593, , ,982,1,0,1.25,1939, ,Detached house,Residential, , 
2594, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2595, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2596, , ,1750,0,0,1,1950, ,Detached structure,Mass Assembly, , 
2597, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2598, , ,1078,1,0,1,1925, ,Detached house,Residential, , 
2599, , ,1557,1,0,1,1951, ,Detached house,Residential, , 
2600, , ,1179,1,0,2,1940, ,Detached house,Residential, , 
2601, , ,1884,1,0,2,1976, ,Detached house,Residential, , 
2602, , ,1536,1,0,2,1930, ,Detached house,Residential, , 
2603, , ,1904,1,0,2,1936, ,Detached house,Residential, , 
2604, , ,99000,0,0,5,1989, ,Detached structure,Industrial, , 
2605, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2606, , ,1935,1,0,1,1961, ,Detached house,Residential, , 
2607, , ,2238,2,0,2,1953, ,Duplex,Residential, , 
2608, , ,1890,1,0,1.75,1935, ,Detached house,Residential, , 
2609, , ,1378,1,0,1.75,1925, ,Detached house,Residential, , 
2610, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2611, , ,1248,1,0,1.5,1956, ,Detached house,Residential, , 
2612, , ,3494,1,0,2.25,1938, ,Detached house,Residential, , 
2613, , ,840,1,0,1,1938, ,Detached house,Residential, , 
2614, , ,1390,1,0,1.5,1956, ,Detached house,Residential, , 
2615, , ,5493,0,0,2,1963, ,Detached structure,Commercial, , 
2616, , ,1714,1,0,2,1935, ,Detached house,Residential, , 
2617, , ,1008,1,0,1,1962, ,Detached house,Residential, , 
2618, , ,1153,1,0,1.25,1950, ,Detached house,Residential, , 
2619, , ,1244,1,0,1,1957, ,Detached house,Residential, , 
2620, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2621, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2622, ,EDSALL BLUFF CONDOMINIUM,1108,0,0,0,1973, ,Detached structure,Mass Assembly, , 
2623, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2624, , ,1248,1,0,1.5,1956, ,Detached house,Residential, , 
2625, , ,2718,1,0,2,1977, ,Detached house,Residential, , 
2626,Anglican Church of St. Andrew & St. Margaret, ,2800,0,0,1,0, ,Detached structure,Mass Assembly, , 
2627, , ,3056,1,0,2,1952, ,Detached house,Residential, , 
2628, , ,1890,1,0,2,1935, ,Detached house,Residential, , 
2629, , ,1778,1,0,2.25,1929, ,Detached house,Residential, , 
2630, , ,1750,0,0,2,1983, ,Detached structure,Commercial, , 
2631, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2632, , ,1444,1,0,1.5,1954, ,Detached house,Residential, , 
2633, , ,3048,1,0,2,1976, ,Detached house,Residential, , 
2634, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2635, , ,3480,1,0,2,1970, ,Detached house,Residential, , 
2636, , ,2520,0,0,1,1974, ,Detached structure,Commercial, , 
2637, , ,1035,1,0,1,1920, ,Detached house,Residential, , 
2638, , ,2265,1,0,1,1954, ,Detached house,Residential, , 
2639, ,WATERGATE AT LANDMARK CONDOMINIUM,0,0,0,0,0, ,Garage or shed,Other, , 
2640, , ,1040,1,0,1,1954, ,Detached house,Residential, , 
2641, , ,1279,1,0,2,1940, ,Detached house,Residential, , 
2642, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2643, , ,2443,0,0,1,1966, ,Detached structure,Commercial, , 
2644, , ,2128,2,0,2,1982, ,Duplex,Residential, , 
2645, , ,2304,2,0,0,1955, ,Duplex,Residential, , 
2646, , ,1460,1,0,2,1930, ,Detached house,Residential, , 
2647, , ,2104,1,0,1,1974, ,Detached house,Residential, , 
2648, , ,1032,1,0,1,1930, ,Detached house,Residential, , 
2649, ,Foxchase Apartments,0,10,0,4,1950, ,Detached structure,Residential,Apartment, 
2650, , ,850,1,0,1,1950, ,Detached house,Residential, , 
2651, , ,2243,2,0,2,1953, ,Duplex,Residential, , 
2652, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2653, , ,1536,1,0,2,1930, ,Detached house,Residential, , 
2654, , ,1018,1,0,1.25,1930, ,Detached house,Residential, , 
2655, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2656,Woodbine Convelesant & Nursing Center, ,94410,141,0,3,1964, ,Detached structure,Residential, , 
2657, , ,1065,0,0,1,1966, ,Detached structure,Commercial, , 
2658, , ,1674,1,0,2.25,1930, ,Detached house,Residential, , 
2659, , ,1456,1,0,2,1948, ,Detached house,Residential, , 
2660, , ,1080,1,0,1.25,1940, ,Detached house,Residential, , 
2661, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2662, , ,2443,1,0,1.75,1940, ,Detached house,Residential, , 
2663, , ,2012,1,0,1,1924, ,Detached house,Residential, , 
2664, , ,2629,1,0,1.75,1951, ,Detached house,Residential, , 
2665, , ,0,0,0,2.75,0, ,Garage or shed,Other, , 
2666, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2667, , ,1748,1,0,2,1910, ,Detached house,Residential, , 
2668, , ,2568,1,0,2,1935, ,Detached house,Residential, , 
2669, , ,1431,1,0,1.5,1938, ,Detached house,Residential, , 
2670, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2671, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2672, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2673, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2674, , ,0,0,0,2.25,0, ,Garage or shed,Other, , 
2675, , ,2462,1,0,2,1941, ,Detached house,Residential, , 
2676, , ,1271,1,0,1.25,1936, ,Detached house,Residential, , 
2677, , ,3756,1,0,2,1964, ,Detached house,Residential, , 
2678, , ,2240,2,0,2,1956, ,Duplex,Residential, , 
2679, ,Foxchase Apartments,0,11,0,3,1950, ,Detached structure,Residential,Apartment, 
2680, , ,1170,1,0,1,1953, ,Detached house,Residential, , 
2681, , ,1724,1,0,2,1940, ,Detached house,Residential, , 
2682, , ,1976,2,0,2,1945, ,Duplex,Residential, , 
2683, , ,2680,1,0,1.5,1940, ,Detached house,Residential, , 
2684, , ,2090,1,0,2,1940, ,Detached house,Residential, , 
2685, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2686, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2687, ,ALEXANDRIA KNOLLS WEST CONDOMINIUM,0,0,0,2,0, ,Garage or shed,Transportation, , 
2688, , ,1485,1,0,1.25,1907, ,Detached house,Residential, , 
2689, , ,1877,1,0,1,1962, ,Detached house,Residential, , 
2690, , ,950,1,0,1,1954, ,Detached house,Residential, , 
2691, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2692, , ,1401,1,0,1,1954, ,Detached house,Residential, , 
2693, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2694, , ,0,0,0,1.75,0, ,Garage or shed,Other, , 
2695, , ,1292,1,0,1,1928, ,Detached house,Residential, , 
2696, , ,1196,1,0,2,1940, ,Detached house,Residential, , 
2697, , ,1155,1,0,1,1953, ,Detached house,Residential, , 
2698, , ,0,0,0,1.25,0, ,Garage or shed,Other, , 
2699, , ,2950,1,0,2,1936, ,Detached house,Residential, , 
2700, , ,0,0,0,1.5,0, ,Garage or shed,Other, , 
2701, , ,1460,1,0,2,1958, ,Detached house,Residential, , 
2702, , ,0,0,0,2.25,0, ,Garage or shed,Other, , 
2703, , ,1540,1,0,1.5,1958, ,Detached house,Residential, , 
2704, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2705, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2706, , ,1100,1,0,1,1920, ,Detached house,Residential, , 
2707, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2708, , ,1568,1,0,2,1956, ,Detached house,Residential, , 
2709, , ,1666,1,0,1.75,1925, ,Detached house,Residential, , 
2710, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2711, , ,1606,1,0,1.75,1945, ,Detached house,Residential, , 
2712, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2713, , ,1960,0,0,1,1988, ,Detached structure,Commercial, , 
2714, ,WATERGATE AT LANDMARK CONDOMINIUM,0,0,0,0,0, ,Garage or shed,Other, , 
2715, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2716, , ,1665,1,0,1.25,1940, ,Detached house,Residential, , 
2717, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2718, , ,819,1,0,1.5,1950, ,Detached house,Residential, , 
2719, , ,2240,2,0,2,1956, ,Duplex,Residential, , 
2720, , ,2852,1,0,2,1978, ,Detached house,Residential, , 
2721, , ,2592,2,0,2,1985, ,Duplex,Residential, , 
2722, , ,716,1,0,1.25,1935, ,Detached house,Residential, , 
2723, , ,1588,1,0,1,1955, ,Detached house,Residential, , 
2724, , ,850,1,0,1,1950, ,Detached house,Residential, , 
2725, , ,1768,2,0,2,1938, ,Duplex,Residential, , 
2726, , ,896,1,0,2,1948, ,Detached house,Residential, , 
2727, , ,2240,1,0,2,1950, ,Detached house,Residential, , 
2728, , ,950,1,0,1,1953, ,Detached house,Residential, , 
2729, , ,2243,2,0,2,1953, ,Duplex,Residential, , 
2730, , ,1824,1,0,1.5,1958, ,Detached house,Residential, , 
2731, , ,0,0,0,2,0, ,Garage or shed,Other, , 
2732, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2733, , ,1728,2,0,2,1954, ,Duplex,Residential, , 
2734, , ,1725,0,0,0,1950, ,Detached structure,Mass Assembly, , 
2735, , ,2036,1,0,2.25,1937, ,Detached house,Residential, , 
2736, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2737, , ,51000,0,0,1,1962, ,Detached structure,Industrial, , 
2738, , ,0,1,0,0,0, ,Detached house,Residential, , 
2739, , ,2575,1,0,2.25,1925, ,Detached house,Residential, , 
2740, , ,1470,0,0,1,1967, ,Detached structure,Commercial, ,No
2741, , ,2464,1,0,2,1950, ,Detached house,Residential, , 
2742, , ,969,1,0,1.25,1930, ,Detached house,Residential, , 
2743, , ,1406,1,0,1,1950, ,Detached house,Residential, , 
2744, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2745, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2746, ,KING STREET WEST OFFICE BUILDINGS,5712,0,0,3,1983, ,Detached structure,Commercial, , 
2747, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2748, , ,1221,1,0,1.25,1930, ,Detached house,Residential, , 
2749, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2750, , ,3135,1,0,1,1963, ,Detached house,Residential, , 
2751, , ,4990,1,0,2,1987, ,Detached house,Residential, , 
2752, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2753, , ,1488,1,0,2,1937, ,Detached house,Residential, , 
2754, , ,2316,1,0,2,1952, ,Detached house,Residential, , 
2755, , ,1092,1,0,1,1956, ,Detached house,Residential, , 
2756, , ,1276,1,0,2,1925, ,Detached house,Residential, , 
2757, , ,2602,1,0,2,1959, ,Detached house,Residential, , 
2758, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2759, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2760, , ,14000,0,0,2,1960, ,Detached structure,Commercial, , 
2761, , ,3112,1,0,2,1964, ,Detached house,Residential, , 
2762, , ,1838,1,0,2,1938, ,Detached house,Residential, , 
2763, , ,948,1,0,1.25,1935, ,Detached house,Residential, , 
2764, , ,2230,1,0,2,1960, ,Detached house,Residential, , 
2765, , ,2238,2,0,2,1953, ,Duplex,Residential, , 
2766, , ,1290,1,0,1,1958, ,Detached house,Residential, , 
2767, , ,1541,1,0,2,1940, ,Detached house,Residential, , 
2768, , ,2348,1,0,2.25,1913, ,Detached house,Residential, , 
2769, , ,1880,1,0,2,1938, ,Detached house,Residential, , 
2770, , ,1600,0,0,0,1959, ,Detached structure,Commercial, , 
2771, , ,2492,1,0,2.75,1937, ,Detached house,Residential, , 
2772, , ,1140,1,0,2,1925, ,Detached house,Residential, , 
2773, , ,2434,1,0,2,1977, ,Detached house,Residential, , 
2774, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2775, , ,21410,0,0,1,0, ,Detached structure,Commercial, , 
2776, , ,2467,1,0,2,1938, ,Detached house,Residential, , 
2777, , ,1944,1,0,2,1955, ,Detached house,Residential, , 
2778, , ,3060,2,0,2,1978, ,Duplex,Residential, , 
2779, ,Samuel Madden Homes,0,4,0,2,1945, ,Townhouse or row house,Residential,ARHA, 
2780, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2781, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2782, , ,2032,1,0,2,1938, ,Detached house,Residential, , 
2783, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2784, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2785, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2786, , ,1612,1,0,2,1935, ,Detached house,Residential, , 
2787, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2788, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2789, ,Samuel Madden Homes,0,6,0,2,1945, ,Townhouse or row house,Residential,ARHA, 
2790, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2791, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2792, , ,0,0,0,1,0, ,Garage or shed,Other, , 
2793, , ,1481,1,0,1,1962, ,Detached house,Residential, , 
2794, , ,1202,1,0,1,1951, ,Detached house,Residential, , 
2795, , ,0,0,0,0,0, ,Garage or shed,Other, , 
2796, , ,1542,1,0,1.5,1950, ,Detached house,Residential, , 
