OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA,SHAPEarea,SHAPElen
202,Trant Brookshire Parcel B Park,1498548374,City,GOS,General Open Space sites,2.0657,Great Neck,13085.9372650705,581.025423479774
203,Trant Brookshire Parcel A Park,1498544157,City,GOS,General Open Space sites,2.7662,Great Neck,17523.1107976298,1202.79574461786
204,Great Neck Meadows Park,2408422854,City,NP,Neighborhood Parks,3.6729,Great Neck,23264.5514857374,621.530150374983
205,South Hall Quarter Park,2408712071,City,NP,Neighborhood Parks,1.2552,Great Neck,7949.34591359091,369.813770298368
206,Glouchester Park,2408401788,City,NP,Neighborhood Parks,1.2353,Great Neck,7823.70928895313,462.683095021154
207,Kenstock Park, ,City,NP,Neighborhood Parks,0.7265,Great Neck,4600.56752777706,338.564300013779
208,Deerwood Trace,1497883258,City,NP,Neighborhood Parks,2.9157,Great Neck,18462.8235907246,819.8648687081
209,Point of Woods Park,2407174920,City,NP,Neighborhood Parks,7.714,Great Neck,48844.9463301619,1142.67970977829
210,Oceana Athletic Field Park,2407757433,City,NP,Neighborhood Parks,5.2584,Great Neck,33289.4692540594,845.803815762332
211,Oceana Village Garden Park,2407645491,City,NP,Neighborhood Parks,1.6669,Great Neck,10552.0658138627,436.647543429735
212,London Bridge Park,2407070716,City,NP,Neighborhood Parks,1.9219,Great Neck,12169.4601462671,505.889165659151
213,Holy Family Church Ballfield,2408262509,City,NP,Neighborhood Parks,9.7032,Great Neck,61478.6772892441,1029.21557648259
214,Wolfsnare Park,1498807874,City,NP,Neighborhood Parks,0.8318,Great Neck,5267.7971123083,290.886388541981
215,London Bridge Creek Park,1497524019,City,GOS,General Open Space sites,10.5849,Holland,66995.5528746242,1194.00656125955
216,Highland Meadows Park,1484231207,City,NP,Neighborhood Parks,4.375,Holland,27634.3190975584,669.405578785642
217,Bow Creek Neighborhood Park,1486788331,City,NP,Neighborhood Parks,3.5748,Holland,22620.0367757757,594.308402881678
218,Bow Creek Rec-Center, ,City,SURC,Special Use ? Recreation Center sites,3.3171,Holland,20989.5610602224,586.719914763623
219,Bow Creek Golf Course, ,City,SUGC,Special Use ? Golf Courses,124.3735,Holland,786938.133066644,5453.365619486
220,Salem Lakes South Park,1474987671,City,NP,Neighborhood Parks,1.6149,Holland,10204.596371955,501.42953984988
